"","d1","d2","d3","d4","d5"
"1","Melody Music Centre ","104 Pitt St, Cornwall, ON K6J 3P4Get directions »","613-209-3242Primary",NA,"5/5"
"2","Music Box Music Department ","108 Third Ave, Timmins, ON P4N 1C3Get directions »","1-866-740-8821Primary","www.themusicboxtimmins.com","1/5"
"3","Encore Records Limited ","206-301 King St E, Kitchener, ON N2G 2L2Get directions »","226-243-5592Primary","www.encorerecords.ca","4/5"
"4","House of Chords - Music Centre ","723 Main St E, Milton, ON L9T 3Z3Get directions »","905-878-1800Primary","www.houseofchords.ca","5/5"
"5","Domenics Academy Of Music ","2297 Promenade St Joseph, Ottawa, ON K1C 1E7Get directions »","613-319-6212Primary",NA,"5/5"
"6","Northland Music ","312 Queen St E, Sault Ste Marie, ON P6A 1Z1Get directions »","705-254-1756Primary",NA,NA
"7","Picker's Alley ","430 Exmouth St, Sarnia, ON N7T 5N9Get directions »","519-344-7740Primary",NA,NA
"8","Ryson's United Studios Of Music Inc ","5 Court St, St Catharines, ON L2R 4R3Get directions »","905-682-7219Primary",NA,"4.2/5"
"9","Picker's Alley ","character(0)","1-877-763-9325Primary","www.pickersalley.com",NA
"10","Anydos ","1050 Stainton Dr, Mississauga, ON L5C 2T7Get directions »","416-509-7013Primary",NA,NA
"11","Granata Music Ltd ","18-1568 Merivale Rd, Nepean, ON K2G 5Y7Get directions »","613-727-0727Primary",NA,"4.2/5"
"12","Pro Music ","5051 Highway 7, Unionville, ON L3R 1N3Get directions »","905-479-5800Primary","www.pro-music.ca","1/5"
"13","Class Axe Guitars ","288 County Road 44, Kemptville, ON K0G 1J0Get directions »","613-258-9119Primary, 613-258-4186Fax","www.classaxe.ca",NA
"14","Speed City Records ","294 Springbank Dr, London, ON N6J 1E9Get directions »","519-858-2680Primary","www.speedcityrecords.com",NA
"15","Cosmic Daves Vinyl Emporium ","595 Kathleen St, Sudbury, ON P3C 2N4Get directions »","705-222-9387Primary",NA,NA
"16","Cosmo Music Company Ltd ","10 via Renzo Dr, Richmond Hill, ON L4S 0B6Get directions »","905-770-5222Primary, 1-800-463-3000Tollfree","cosmomusic.ca","3.4/5"
"17","The Rad Zone ","625 Trunk Rd, Sault Ste Marie, ON P6A 3T1Get directions »","705-945-0911Primary",NA,NA
"18","Walters Music Centre ","905 Britannia Rd W, Mississauga, ON L5V 2X8Get directions »","905-542-0099Primary",NA,NA
"19","Performance Studios ","595 St George St E, Fergus, ON N1M 1L1Get directions »","519-843-3517Primary",NA,"5/5"
"20","QY String ","3550 Victoria Park Ave, North York, ON M2H 2N5Get directions »","416-490-9379Primary",NA,"5/5"
"21","Buy 'n' Sell ","6-509 Wilson Ave, Kitchener, ON N2C 2M4Get directions »","226-243-2310Primary, 519-894-3339Fax","www.buy-n-sell.ca","3.8/5"
"22","Cithara Guitars Inc ","ON","519-806-8888Primary","www.citharaguitars.com",NA
"23","Spirit Drums ","155909 7th Line, Markdale, ON N0C 1H0Get directions »","416-795-1320Primary","www.spiritdrums432.com",NA
"24","Bob's Music Plus ","105 Pembroke St W, Pembroke, ON K8A 5M7Get directions »","613-732-3454Primary",NA,"5/5"
"25","Looney Tunes ","91 Plains Rd E, Burlington, ON L7T 2C2Get directions »","1-844-452-3237Primary",NA,NA
"26","Orange Monkey Music ","5 Princess St W, Waterloo, ON N2L 2X7Get directions »","519-886-0939Primary","www.orangemonkeymusic.com","4.2/5"
"27","Drummer's Hangout ","15483 Yonge St, Aurora, ON L4G 1P3Get directions »","905-503-7300Primary","www.drummershangout.ca","4/5"
"28","Dr Disc Records Inc. ","471 Ouellette Ave, Windsor, ON N9A 4J2Get directions »","519-253-9744Primary",NA,"5/5"
"29","Tecumseh Music Centre ","2-13126 Tecumseh Rd E, Windsor, ON N8N 3T6Get directions »","519-979-8810Primary","www.tecumsehmusic.com",NA
"30","Ray Perrier Music ","29 Balsam St S, Timmins, ON P4N 2C7Get directions »","705-267-3865Primary","www.rpmusic.ca","3.2/5"
"31","Stardust Records ","124 Ottawa St N, Hamilton, ON L8H 3Z1Get directions »","905-545-4011Primary",NA,NA
"32","Cripple Creek Music ","15 Chaffey St, Huntsville, ON P1H 1H4Get directions »","705-789-1112Primary","cripplecreekmusic.ca",NA
"33","Vinyl Destination ","107 Brock Street West, Merrickville, ON K0G 1N0Get directions »","647-225-8815Primary","www.vinyldestination.ca","5/5"
"34","Maars Music ","21-869 Chemong Rd, Peterborough, ON K9H 5Z5Get directions »","705-243-9964Primary","www.maarsmusic.com","5/5"
"35","Deja Vu Discs ","400 King St W, Oshawa, ON L1J 2J9Get directions »","905-438-0458Primary",NA,NA
"36","Deja Vu Discs ","15-75 Bayly St W, Ajax, ON L1S 7L7Get directions »","905-427-7613Primary",NA,NA
"37","Deja Vu Discs ","26 William Kitchen Rd, Toronto, ON M1P 5B7Get directions »","416-332-1722Primary",NA,NA
"38","Exeter Music Centre ","342 Main St N SS 3, Exeter, ON N0M 1S3Get directions »","519-235-1263Primary","www.exetermusic.com","5/5"
"39","The Music Stand ","14 Hester St, Hamilton, ON L9A 2N2Get directions »","289-769-4218Primary",NA,NA
"40","Rideau River Music ","11 Main St W, Smiths Falls, ON K7A 1M4Get directions »","613-706-2229Primary","www.rideaurivermusic.ca",NA
"41","Music World Academy Ltd ","443 Simpson St, Thunder Bay, ON P7C 3J3Get directions »","807-700-1321Primary, 1-844-724-8560Tollfree, 807-622-6595Fax","www.musicworldacademy.com","4/5"
"42","Hock Shop ","409 George St N, Peterborough, ON K9H 3R4Get directions »","705-741-2274Primary",NA,"5/5"
"43","Allegro Music ","2043 Avenue Rd, North York, ON M5M 4A7Get directions »","416-483-7203Primary",NA,NA
"44","TNT Pawn Shop ","455 Notre Dame Ave, Sudbury, ON P3C 5K9Get directions »","705-675-3000Primary",NA,NA
"45","van Goozen Music ","115 Mitton St S, Sarnia, ON N7T 3C5Get directions »","519-344-2319Primary",NA,NA
"46","Case's Music ","636 Queen St E, Sault Ste Marie, ON P6A 2A4Get directions »","705-256-7388Primary","www.casesmusic.ca","5/5"
"47","Spacek's ","8 Circle, Kapuskasing, ON P5N 1T3Get directions »","705-335-3460Primary",NA,NA
"48","L'Intro Musique ","11 rue Sainte-Anne, Ville-Marie, QC J9V 2B6Get directions »","819-622-1132Primary, 819-622-1328Fax","www.lintro.e-monsite.com",NA
"49","Rockwell Music & Pawns ","257 Main Street East, North Bay, ON P1B 1B2Get directions »","705-478-0924Primary","www.facebook.com","5/5"
"50","Comix Plus & Music Exchange ","186 Algoma St S, Thunder Bay, ON P7B 3B9Get directions »","807-345-5700Primary",NA,NA
"51","Steve's Music Store ","415 Queen St W, Toronto, ON M5V 2A5Get directions »","416-593-8888Primary, 416-591-6735Fax","www.stevesmusic.com","4/5"
"52","Steve's Music Store ","308 Rideau St, Ottawa, ON K1N 5Y5Get directions »","613-789-1131Primary, 613-789-4322Fax",NA,"4/5"
"53","Remenyi House Of Music ","210 Bloor St W, Toronto, ON M5S 1T8Get directions »","416-961-3111Primary, 1-800-667-6925Tollfree, 416-961-3949Fax","www.remenyi.com",NA
"54","Stereo Plus-Audio Video Centre ","187 King St, Sturgeon Falls, ON P2B 1R6Get directions »","705-753-0832Primary",NA,NA
"55","Grooves ","236 Dundas St, London, ON N6A 1H3Get directions »","519-640-6714Primary","www.groovesrecordstore.com",NA
"56","JamSchool ","225 Hanlon Creek Blvd, Guelph, ON N1C 0A1Get directions »","519-836-8526Primary","www.jamschool.com",NA
"57","Absolute Music ","945 Upper James St, Hamilton, ON L9C 3A6Get directions »","905-318-7447Primary, 905-318-9229Fax","www.absolutemusic.ca","5/5"
"58","Guelph Music ","20 Carden St, Guelph, ON N1H 3A2Get directions »","519-836-3199Primary","www.guelphmusic.com",NA
"59","Cosmos Records ","607A Queen St W, Toronto, ON M5V 2B7Get directions »","416-603-0254Primary","cosmosrecords.ca",NA
"60","Folkway Music ","22 Dupont St E, Waterloo, ON N2J 2G9Get directions »","519-772-0424Primary",NA,NA
"61","Ring Music ","90 Harbord St, Toronto, ON M5S 1G5Get directions »","416-924-3571Primary","www.ringmusic.com","5/5"
"62","Gilbert Guitars ","68 Mississaga St E, Orillia, ON L3V 1V5Get directions »","705-329-2913Primary",NA,NA
"63","Music Workshop ","3-59 Court St N, Thunder Bay, ON P7A 4T6Get directions »","807-622-1841Primary","www.musicworkshopdirect.com","5/5"
"64","Guitar Nuts ","15 Station St RR 1, Bancroft, ON K0L 1C0Get directions »","613-332-6444Primary","guitarnuts.ca",NA
"65","The Sound Post ","319 Catherine St, Ottawa, ON K1R 5T4Get directions »","613-422-4415Primary",NA,NA
"66","Log Cabin Yarns ","12 Peterson Rd, Northbrook, ON K0H 2G0Get directions »","613-336-3385Primary, 613-336-9330Fax",NA,NA
"67","Dr Disc Records Inc. ","471 Ouellette Ave, Windsor, ON N9A 4J2Get directions »","519-253-9744Primary",NA,"5/5"
"68","Speed City Records ","294 Springbank Dr, London, ON N6J 1E9Get directions »","519-858-2680Primary","www.speedcityrecords.com",NA
"69","Performance Studios ","595 St George St E, Fergus, ON N1M 1L1Get directions »","519-843-3517Primary",NA,"5/5"
"70","Buy 'n' Sell ","6-509 Wilson Ave, Kitchener, ON N2C 2M4Get directions »","226-243-2310Primary, 519-894-3339Fax","www.buy-n-sell.ca","3.8/5"
"71","Frank's Music Centre ","75 King St W, Chatham, ON N7M 1C7Get directions »","519-352-7370Primary","www.facebook.com","5/5"
"72","A & R Music ","401 Durham St E, Walkerton, ON N0G 2V0Get directions »","519-507-5550Primary",NA,NA
"73","Algoma Conservatory Of Music ","75 Huron St, Sault Ste Marie, ON P6A 5P4Get directions »","705-253-4373Primary","www.algomaconservatory.com",NA
"74","Dr Disc (Hamilton) Inc ","20 Wilson St, Hamilton, ON L8R 1C5Get directions »","905-523-1010Primary","www.drdisc.ca",NA
"75","The Arts Music Store ","274 Eagle Street, Newmarket, ON L3Y 1K1Get directions »","905-898-7164Primary, 1-888-798-7164Tollfree, 905-898-2576Fax",NA,NA
"76","Wrona's House Of Violins ","907 Escarpment Dr","716-297-2263Primary","www.facebook.com",NA
"77","Big Ed's Furniture & Consignment House Ltd ","60 Algoma St S, Thunder Bay, ON P7B 3A9Get directions »","807-344-3777Primary",NA,"2.3/5"
